School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Carrsville Elementary,Isle of Wight County Public Schools,46.0,50.0,0.0
Carson Middle,Fairfax County Public Schools,31.0,68.0,0.0
Carter G. Woodson Middle,Hopewell City Public Schools,61.0,35.0,0.0
Carver College and Career Academy,Chesterfield County Public Schools,47.0,45.0,6.0
Carver Elementary,Newport News City Public Schools,38.0,50.0,0.0
Carver Middle,Chesterfield County Public Schools,52.0,43.0,2.0
Carysbrook Elementary,Fluvanna County Public Schools,53.0,47.0,0.0
Cashell Donahoe Elementary,Henrico County Public Schools,28.0,67.0,0.0
Cassell Elementary,Augusta County Public Schools,59.0,41.0,0.0
Castlewood Elementary,Russell County Public Schools,69.0,28.0,0.0
Castlewood High,Russell County Public Schools,36.0,62.0,3.0
Catoctin Elementary,Loudoun County Public Schools,16.0,84.0,0.0
Cave Spring Elementary,Roanoke County Public Schools,44.0,56.0,0.0
Cave Spring High,Roanoke County Public Schools,34.0,65.0,0.0
Cave Spring Middle,Roanoke County Public Schools,49.0,50.0,1.0
Cedar Bluff Elementary,Tazewell County Public Schools,58.0,42.0,0.0
Cedar Forest Elementary,Spotsylvania County Public Schools,33.0,65.0,2.0
Cedar Lane Elementary,Loudoun County Public Schools,23.0,75.0,1.0
Cedar Lee Middle,Fauquier County Public Schools,49.0,43.0,3.0
Cedar Point Elementary,Prince William County Public Schools,24.0,74.0,0.0
Cedar Road Elementary,Chesapeake City Public Schools,29.0,68.0,2.0
Centerville Elementary,Virginia Beach City Public Schools,30.0,66.0,0.0
Central Academy Middle,Botetourt County Public Schools,57.0,41.0,2.0
Central Elementary,Amherst County Public Schools,36.0,57.0,0.0
Central Elementary,Rockbridge County Public Schools,44.0,56.0,0.0
Central High,King and Queen County Public Schools,50.0,45.0,3.0
Central High,Lunenburg County Public Schools,54.0,36.0,0.0
Central High,Shenandoah County Public Schools,49.0,49.0,1.0
Central High,Wise County Public Schools,58.0,42.0,0.0
Centre Ridge Elementary,Fairfax County Public Schools,28.0,72.0,0.0
Centreville Elementary,Fairfax County Public Schools,23.0,77.0,0.0
Centreville High,Fairfax County Public Schools,20.0,77.0,2.0
Cesar Tarrant Middle,Hampton City Public Schools,45.0,45.0,0.0
Chamberlayne Elementary,Henrico County Public Schools,55.0,42.0,3.0
Chancellor Elementary,Spotsylvania County Public Schools,34.0,59.0,0.0
Chancellor High,Spotsylvania County Public Schools,43.0,52.0,0.0
Chancellor Middle,Spotsylvania County Public Schools,44.0,54.0,2.0
Chantilly High,Fairfax County Public Schools,23.0,73.0,4.0
Charles Barrett Elementary,Alexandria City Public Schools,25.0,70.0,3.0
Charles City County Elementary,Charles City County Public Schools,39.0,52.0,9.0
Charles City County High,Charles City County Public Schools,41.0,47.0,3.0
Charles J. Colgan Sr. High,Prince William County Public Schools,28.0,67.0,3.0
Charles M. Johnson Elementary,Henrico County Public Schools,46.0,54.0,0.0
Charlottesville High,Charlottesville City Public Schools,34.0,62.0,2.0
Chase City Elementary,Mecklenburg County Public Schools,64.0,31.0,6.0
Chatham Elementary,Pittsylvania County Public Schools,64.0,29.0,0.0
Chatham High,Pittsylvania County Public Schools,51.0,42.0,0.0
Chatham Middle,Pittsylvania County Public Schools,56.0,33.0,4.0
Check Elementary,Floyd County Public Schools,50.0,47.0,0.0
Cherry Run Elementary,Fairfax County Public Schools,13.0,85.0,2.0
Chesterbrook Elementary,Fairfax County Public Schools,17.0,80.0,0.0
Chesterfield Elementary,Norfolk City Public Schools,31.0,44.0,8.0
Chickahominy Middle,Hanover County Public Schools,35.0,63.0,1.0
Chilhowie Elementary,Smyth County Public Schools,52.0,44.0,2.0
Chilhowie High,Smyth County Public Schools,58.0,40.0,0.0
Chilhowie Middle,Smyth County Public Schools,74.0,23.0,0.0
Chimborazo Elementary,Richmond City Public Schools,33.0,67.0,0.0
Chincoteague Elementary,Accomack County Public Schools,50.0,35.0,10.0
Chincoteague High,Accomack County Public Schools,45.0,45.0,3.0
Chris Yung Elementary,Prince William County Public Schools,25.0,72.0,0.0
Christiansburg Elementary,Montgomery County Public Schools,36.0,62.0,2.0
Christiansburg High,Montgomery County Public Schools,32.0,62.0,1.0
Christiansburg Middle,Montgomery County Public Schools,41.0,58.0,0.0
Christopher Farms Elementary,Virginia Beach City Public Schools,44.0,53.0,0.0
Churchill Road Elementary,Fairfax County Public Schools,28.0,67.0,4.0
Churchland Academy Elementary,Portsmouth City Public Schools,43.0,50.0,2.0
Churchland Elementary,Portsmouth City Public Schools,39.0,45.0,3.0
Churchland High,Portsmouth City Public Schools,49.0,41.0,1.0
Churchland Middle,Portsmouth City Public Schools,59.0,33.0,2.0
Churchland Primary & Intermediate,Portsmouth City Public Schools,45.0,53.0,2.0
Churchville Elementary,Augusta County Public Schools,59.0,38.0,0.0
Clara Byrd Baker Elementary,Williamsburg-James City County Public Schools,34.0,60.0,2.0
Claremont Immersion,Arlington County Public Schools,30.0,61.0,4.0
Clark Elementary,Charlottesville City Public Schools,34.0,63.0,0.0
Clarke County High,Clarke County Public Schools,46.0,49.0,0.0
Clarksville Elementary,Mecklenburg County Public Schools,49.0,49.0,0.0
Claude Thompson Elementary,Fauquier County Public Schools,38.0,62.0,0.0
Clays Mill Elementary,Halifax County Public Schools,66.0,31.0,3.0
Clearbrook Elementary,Roanoke County Public Schools,38.0,53.0,0.0
Clearview Elementary,Fairfax County Public Schools,26.0,72.0,1.0
Clermont Elementary,Fairfax County Public Schools,31.0,69.0,0.0
Clifton Middle,Alleghany Highlands Public Schools,54.0,46.0,0.0
Clintwood Elementary,Dickenson County Public Schools,68.0,24.0,2.0
Clover Hill Elementary,Chesterfield County Public Schools,49.0,47.0,0.0
Clover Hill High,Chesterfield County Public Schools,39.0,60.0,0.0
Cloverdale Elementary,Botetourt County Public Schools,44.0,52.0,0.0
Cluster Springs Elementary,Halifax County Public Schools,46.0,52.0,0.0
Coates Elementary,Fairfax County Public Schools,30.0,70.0,0.0
Coeburn Middle,Wise County Public Schools,55.0,40.0,0.0
Coeburn Primary,Wise County Public Schools,73.0,22.0,4.0
Cold Harbor Elementary,Hanover County Public Schools,24.0,72.0,0.0
Coleman Place Elementary,Norfolk City Public Schools,47.0,42.0,4.0
Coles Elementary,Prince William County Public Schools,32.0,66.0,0.0
College Park Elementary,Virginia Beach City Public Schools,38.0,58.0,0.0
Colonel Fred Cherry Middle,Suffolk City Public Schools,51.0,40.0,2.0
Colonial Beach Elementary,Colonial Beach Public Schools,54.0,25.0,0.0
Colonial Beach High,Colonial Beach Public Schools,63.0,32.0,5.0
Colonial Elementary,Botetourt County Public Schools,53.0,42.0,0.0
Colonial Forge High,Stafford County Public Schools,31.0,63.0,3.0
Colonial Heights High,Colonial Heights City Public Schools,49.0,47.0,0.0
Colonial Heights Middle,Colonial Heights City Public Schools,60.0,40.0,0.0
Colonial Trail Elementary,Henrico County Public Schools,43.0,57.0,0.0
Columbia Elementary,Fairfax County Public Schools,26.0,71.0,2.0
Colvin Run Elementary,Fairfax County Public Schools,24.0,75.0,0.0
Community Lab School,Albemarle County Public Schools,31.0,56.0,6.0
Concord Elementary,Campbell County Public Schools,54.0,43.0,0.0
Conway Elementary,Stafford County Public Schools,42.0,56.0,0.0
Cool Spring Elementary,Hanover County Public Schools,32.0,67.0,0.0
Cool Spring Elementary,Loudoun County Public Schools,22.0,77.0,1.0
Cool Spring Elementary,Petersburg City Public Schools,53.0,48.0,0.0
Cooper Middle,Fairfax County Public Schools,26.0,72.0,1.0
Cople Elementary,Westmoreland County Public Schools,53.0,38.0,0.0
Cora Kelly School for Math Science and Technology,Alexandria City Public Schools,42.0,50.0,4.0
Corporate Landing Elementary,Virginia Beach City Public Schools,34.0,61.0,0.0
Corporate Landing Middle,Virginia Beach City Public Schools,36.0,60.0,2.0
Cosby High,Chesterfield County Public Schools,31.0,66.0,2.0
Council Elementary/Middle,Buchanan County Public Schools,59.0,41.0,0.0
Countryside Elementary,Loudoun County Public Schools,27.0,72.0,0.0
Courthouse Road Elementary,Spotsylvania County Public Schools,49.0,51.0,0.0
Courtland Elementary,Spotsylvania County Public Schools,40.0,60.0,0.0
Courtland High,Spotsylvania County Public Schools,38.0,59.0,1.0
Coventry Elementary,York County Public Schools,27.0,71.0,0.0
Covington High,Alleghany Highlands Public Schools,50.0,50.0,0.0
Covington-Harper Elementary,Prince William County Public Schools,33.0,56.0,0.0
Cradock Elementary,Portsmouth City Public Schools,43.0,50.0,3.0
Cradock Middle,Portsmouth City Public Schools,42.0,48.0,3.0
Craig County High,Craig County Public Schools,62.0,35.0,0.0
Craigsville Elementary,Augusta County Public Schools,52.0,35.0,0.0
Creeds Elementary,Virginia Beach City Public Schools,26.0,70.0,0.0
Creekside Elementary,Suffolk City Public Schools,50.0,48.0,2.0
Creighton's Corner Elementary,Loudoun County Public Schools,24.0,74.0,2.0
Crestview Elementary,Henrico County Public Schools,45.0,55.0,0.0
Crestwood Elementary,Chesterfield County Public Schools,39.0,59.0,2.0
Crestwood Elementary,Fairfax County Public Schools,32.0,66.0,0.0
Crestwood Intermediate,Chesapeake City Public Schools,41.0,49.0,3.0
Crestwood Middle,Chesapeake City Public Schools,32.0,63.0,0.0
Crewe Primary,Nottoway County Public Schools,50.0,50.0,0.0
Crittenden Middle,Newport News City Public Schools,33.0,49.0,1.0
Critzer Elementary,Pulaski County Public Schools,59.0,33.0,2.0
Crossfield Elementary,Fairfax County Public Schools,22.0,78.0,0.0
Crossroads PreK-8 School,Norfolk City Public Schools,39.0,60.0,1.0
Crozet Elementary,Albemarle County Public Schools,33.0,61.0,0.0
Crystal Spring Elementary,Roanoke City Public Schools,43.0,40.0,0.0
Cub Run Elementary,Fairfax County Public Schools,31.0,69.0,0.0
Cub Run Elementary,Rockingham County Public Schools,57.0,43.0,0.0
Culpeper County High,Culpeper County Public Schools,48.0,48.0,3.0
Culpeper Middle,Culpeper County Public Schools,57.0,34.0,2.0
Cumberland Elementary,Cumberland County Public Schools,58.0,40.0,2.0
Cumberland High,Cumberland County Public Schools,40.0,56.0,2.0
Cumberland Middle,Cumberland County Public Schools,53.0,48.0,0.0
Cunningham Park Elementary,Fairfax County Public Schools,31.0,65.0,4.0
